"Allele"	"Lin Coef"	"Lin SE"	"Lin Var"	"Quad Coef"	"Quad SE"	"Quad Var"
"R01G01"	-0.000135737355408476	8.0703758371225e-05	5.0205049313002e-08	-1.57687679795614e-07	0.000447832697357167	5.72087325735761e-13
"R04A02"	-5.85055188208259e-05	8.64964134846442e-05	3.98060572571715e-07	2.02417569496185e-07	0.000570753434460289	7.6975812800769e-13
"R06C04"	0.000144327095643927	5.93035539755053e-05	8.42946589230447e-08	-5.89697402322231e-08	0.000292180223713798	5.66793996646571e-13
"R102H01"	0.000558177906491529	9.557777123222e-05	2.20841014582488e-07	-3.04229260906746e-07	0.000876796954654394	2.10539998767734e-11
"R103E04"	5.02405094180305e-06	7.54165068605603e-05	1.83266982422651e-07	-8.8075827633038e-08	0.000391041105935521	1.22764949249811e-12
"R107C12"	-8.95039393631932e-05	6.10471870059315e-05	1.20532658123643e-07	1.66193579011002e-09	0.000321153468735004	4.97229703176719e-13
"R108A02"	3.59530124330407e-05	7.68548381724321e-05	1.66170374329945e-07	-1.35403730033645e-07	0.000385330033036304	2.15174320477374e-12
"R33F03"	7.43095231849182e-06	7.69175401571222e-05	4.23194180275231e-08	8.72090877838112e-08	0.000413222628548121	8.53047436898058e-13
"R37A04"	8.75853710208459e-05	9.33427828496256e-05	7.97672237564338e-08	1.25720901232599e-07	0.000475031249089947	3.77019220075391e-13
"R49F11"	7.10511845861023e-05	7.6483539519514e-05	2.36873762325111e-07	2.37555541582212e-07	0.000383071446087433	1.61770410878256e-12
"R52B09"	-7.01855739435396e-05	8.34359728675243e-05	8.91536103343582e-08	-3.68046145560354e-07	0.000460347236398323	8.73899321591077e-13
"R52E07"	0.000104661217322029	8.29488562234899e-05	8.87045415171875e-08	1.21811718514937e-07	0.000417749842312448	7.32548122202423e-13
"R67C09"	-8.29661545185167e-05	7.03364789476984e-05	9.24122406355073e-08	-2.97664129151767e-07	0.000349593566118221	6.30044613902372e-13
"R77F09"	9.47500061268975e-05	8.68196404477553e-05	1.14880070975555e-07	9.36731804972097e-08	0.00047252916209521	7.51950172196723e-13
"R81E02"	0.000122188014943745	7.21251121720534e-05	1.45170066907647e-07	5.67736527420224e-08	0.000408031089056341	4.03875634098760e-13
"R82A03"	-7.11054440063128e-06	5.51293313555146e-05	2.34405523899355e-07	6.31243913261811e-08	0.00031131235494953	1.61920395121258e-12
"R82C05"	-8.53653800142657e-06	0.000132854225533156	1.07752768655095e-06	8.51892960762382e-07	0.00067142769025958	3.61005499976217e-12
"R83A02"	5.54687262017655e-05	7.10098568806513e-05	7.15865441879692e-08	-1.43131876485193e-07	0.00037602715658671	6.83017422521086e-13
"R84A12"	4.765469844054e-05	6.3226320108946e-05	4.99894085283695e-07	1.16303112010192e-07	0.000520982443201367	4.31151565727738e-12
"R89B08"	0.000143241869143125	7.97601954322921e-05	1.06071964703575e-07	5.31502447651076e-07	0.000484970354264809	4.80035261062965e-13
"R92A10"	2.35204300024783e-05	7.76418840561988e-05	1.00539516689304e-07	1.49709972350249e-07	0.000465100405386164	7.55022037438321e-13
"R92F08"	0.000105132524282052	0.000104791738290475	1.96312970666301e-07	-2.98626074074315e-07	0.000654298699428321	3.13803073453692e-12
"R95D10"	-8.54676001039225e-05	5.91805331711902e-05	1.28882059531664e-07	1.93573192480814e-07	0.000328020673023871	5.5773065545925e-13
"R96B12"	4.95333910049245e-06	6.37840356832945e-05	8.8045211352272e-08	2.5455890945079e-07	0.00030738656212506	8.31265893308761e-13
"R96C12"	-0.000110847677453738	7.60344692379213e-05	2.06587183947743e-07	4.02119883124883e-07	0.000551344521739538	4.74989351607775e-12
